year,ac_number,constituency,region,reserved,winner_candidate,winner_party,winner_party_raw,winner_votes,runner_up_candidate,runner_up_party,runner_up_votes,margin,margin_pct,winner_vote_share_pct,total_valid_votes
2021,1,Gummidipundi,Chennai Metro,GEN,GOVINDARAJAN T.J,DMK,DMK,126452,PRAKASH M,PMK,75514,50938,22.937915692870234,56.94266196542516,222069
2021,2,Ponneri,Chennai Metro,SC,DURAI. CHANDRASEKAR,INC,INC,94528,BALARAMAN. P,AIADMK,84839,9689,4.6060450478716835,44.9375814103844,210354
2021,3,Tiruttani,Chennai Metro,GEN,S.Chandran,DMK,DMK,120314,G.Hari,AIADMK,91061,29253,12.575228695233509,51.72037279042575,232624
2021,4,Thiruvallur,Chennai Metro,GEN,"RAAJENDRAN, V.G.",DMK,DMK,107709,"RAMANAH, BE VEE",AIADMK,85008,22701,10.595912118482284,50.274221328118074,214243
2021,5,Poonamallee,Chennai Metro,SC,Krishnaswamy A,DMK,DMK,149578,Rajamannar S X,PMK,55468,94110,35.683410683410685,56.71504838171505,263736
2021,6,Avadi,Chennai Metro,GEN,Nasar S M,DMK,DMK,150287,Pandiarajan K,AIADMK,95012,55275,18.3682421318127,49.941347901650566,300927
2021,7,Maduravoyal,Chennai Metro,GEN,GANAPATHY.K,DMK,DMK,121298,BENJAMIN.P,AIADMK,89577,31721,11.582502647241393,44.29035673859861,273870
2021,8,Ambattur,Chennai Metro,GEN,JOSEPH SAMUEL,DMK,DMK,114554,V ALEXANDER,AIADMK,72408,42146,17.53898268407276,47.67144266101815,240299
2021,9,Madavaram,Chennai Metro,GEN,SUDHARSANAM. S,DMK,DMK,151485,Moorthy. V,AIADMK,94414,57071,18.853980839114634,50.04459861248761,302700
2021,10,Thiruvottiyur,Chennai Metro,GEN,K.P.SHANKAR,DMK,DMK,88185,K.KUPPAN,AIADMK,50524,37661,18.83087661753235,44.093381867637355,199996
2021,11,Dr. Radhakrishnan Nagar,Chennai Metro,GEN,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,DMK,95763,RAAJESH.R.S.,AIADMK,53284,42479,22.71276339779818,51.2027675148508,187027
2021,12,Perambur,Chennai Metro,GEN,SHEKAR. R.D,DMK,DMK,105267,DHANAPALAN N.R,AIADMK,50291,54976,27.434913442488785,52.53185086856932,200387
2021,13,Kolathur,Chennai Metro,GEN,M.K. STALIN,DMK,DMK,105522,AADIRAJARAM,AIADMK,35138,70384,40.5933513276582,60.85888296767943,173388
2021,14,Villivakkam,Chennai Metro,GEN,A . Vetriazhagan,DMK,DMK,76127,J.C.D.Prabhakar,AIADMK,38890,37237,25.842517280626264,52.832218304971825,144092
2021,15,Thiru-Vi-Ka-Nagar,Chennai Metro,SC,SIVAKUMAR.P,DMK,DMK,81727,KALYANI.P.L,AIADMK,26714,55013,41.147827908089994,61.12897917663954,133696
2021,16,Egmore,Chennai Metro,SC,I.PARANTHAMEN,DMK,DMK,68832,B.JOHN PANDIAN,AIADMK,30064,38768,32.50412925187179,57.71059184546118,119271
2021,17,Royapuram,Chennai Metro,GEN,MURTHY.R.IDREAM,DMK,DMK,64424,JAYAKUMAR.D,AIADMK,36645,27779,22.921669100840823,53.15906296672195,121191
2021,18,Harbour,Chennai Metro,GEN,SEKARBABU. P.K,DMK,DMK,59317,VINOJ. P. SELVAM,BJP,32043,27274,26.831283817019187,58.3541564190851,101650
2021,19,Chepauk-Thiruvallikeni,Chennai Metro,GEN,UDHAYANIDHI STALIN,DMK,DMK,93285,KASSALI A.V.A,PMK,23930,69355,50.47487354899749,67.89054255667553,137405
2021,20,Thousand Lights,Chennai Metro,GEN,EZHILAN N,DMK,DMK,71867,KUSHBOO SUNDAR,BJP,39405,32462,23.879652787994704,52.86670589966162,135940
2021,21,Anna Nagar,Chennai Metro,GEN,M.K. Mohan,DMK,DMK,80054,S. Gokula Indira,AIADMK,52609,27445,16.623661384891214,48.489363764113,165096
2021,22,Virugampakkam,Chennai Metro,GEN,AMV.PRABHAKARA RAJA,DMK,DMK,74351,VIRUGAI V.N.RAVI,AIADMK,55984,18367,10.862455422356538,43.97203806324555,169087
2021,23,Saidapet,Chennai Metro,GEN,SUBRAMANIAN. MA,DMK,DMK,80194,SAIDAI DURAISAMY,AIADMK,50786,29408,18.34251249009836,50.01902362047566,160327
2021,24,Theayagaraya Nagar,Chennai Metro,GEN,KARUNANITHI J,DMK,DMK,56035,SATHIYANAARAYANAN B,AIADMK,55898,137,0.0991934199284649,40.57155682986519,138114
2021,25,Mylapore,Chennai Metro,GEN,VELU.DHA,DMK,DMK,68392,NATARAJ.R,AIADMK,55759,12633,8.233722218601317,44.57537639314345,153430
2021,26,Velachery,Chennai Metro,GEN,JMH.AASSAN MAULAANA,INC,INC,68493,M.K.ASHOK,AIADMK,64141,4352,2.46273639892708,38.75923809092659,176714
2021,27,Shozhinganallur,Chennai Metro,GEN,S.ARAVINDRAMESH,DMK,DMK,171558,K.P.KANDAN,AIADMK,136153,35405,9.116658727195478,44.17556102020059,388355
2021,28,Alandur,Chennai Metro,GEN,T.M.Anbarasan,DMK,DMK,116785,B.Valarmathi,AIADMK,76214,40571,17.064491842305603,49.12071873514728,237751
2021,29,Sriperumbudur,Chennai Metro,SC,SELVAPERUNTHAGAI,INC,INC,115353,PALANI,AIADMK,104474,10879,4.11674777304342,43.65099787332269,264262
2021,30,Pallavaram,Chennai Metro,GEN,KARUNANITHI,DMK,DMK,126427,RAJENDRAN,AIADMK,88646,37781,14.193032149484964,47.49430866210358,266194
2021,31,Tambaram,Chennai Metro,GEN,Raja.S.R,DMK,DMK,116840,Chinnaiyah.T.K.M,AIADMK,80016,36824,14.79065582725491,46.929725908550495,248968
2021,32,Chengalpattu,Chennai Metro,GEN,VARALAKSHMI.M,DMK,DMK,130573,GAJENDRAN.M,AIADMK,103908,26665,9.728662796849177,47.639253229813896,274087
2021,33,Thiruporur,North,GEN,S.S.Balaji,VCK,VCK,93954,Arumugam.K,PMK,92007,1947,0.8587344362653212,41.4388984205814,226729
2021,34,Cheyyur,North,SC,Babu M,VCK,VCK,82750,Kanitha S,AIADMK,78708,4042,2.256587762393926,46.19807949977668,179120
2021,35,Maduranthakam,North,SC,Maragatham. K,AIADMK,AIADMK,86646,Sathya. C.E,DMK,83076,3570,1.9209866445690424,46.62347585583453,185842
2021,36,Uthiramerur,North,GEN,SUNDAR K,DMK,DMK,93427,SOMASUNDARAM V,AIADMK,91805,1622,0.7704401768877447,44.37725918994533,210529
2021,37,Kancheepuram,North,GEN,C.V.M.P. Ezhailzrasan,DMK,DMK,102712,P. Magesh Kumar,PMK,91117,11595,5.053784999476969,44.767948673245236,229432
2021,38,Arakonam,North,SC,S.RAVI,AIADMK,AIADMK,85399,GOWTHAMA SANNAH.J,VCK,58230,27169,15.850115511166079,49.82089935360418,171412
2021,39,Sholinghur,North,GEN,A.M.MUNIRATHINAM,INC,INC,110228,A.M.KRISHNAN,PMK,83530,26698,11.91295307194267,49.184994801636705,224109
2021,40,Katpadi,North,GEN,DURAIMURUGAN,DMK,DMK,85140,V RAMU,AIADMK,84394,746,0.40054551507146463,45.71373344930898,186246
2021,41,Ranipet,North,GEN,R.GANDHI,DMK,DMK,103291,S.M.SUGUMAR,AIADMK,86793,16498,7.9522996982579945,49.78791296719399,207462
2021,42,Arcot,North,GEN,J.L.Eswarappan,DMK,DMK,103885,Elavazagan.K.L,PMK,83927,19958,9.513277499988083,49.51833014762311,209791
